Text,word,tf,df,idf,tfidf
text 1,a,0.05555555555555555,191,2.510997839620848,0.139499879978936
text 1,about,0.05555555555555555,37,4.130907051922243,0.22949483621790237
text 1,caveman,0.05555555555555555,1,7.075346031088684,0.39307477950492686
text 1,conversation,0.05555555555555555,1,7.075346031088684,0.39307477950492686
text 1,dad,0.05555555555555555,2,6.66988092298052,0.37054894016558443
text 1,ever,0.05555555555555555,6,5.822583062593316,0.32347683681073974
text 1,have,0.05555555555555555,49,3.856470206220483,0.21424834479002683
text 1,infuriating,0.05555555555555555,1,7.075346031088684,0.39307477950492686
text 1,is,0.05555555555555555,163,2.668626783824431,0.14825704354580171
text 1,most,0.05555555555555555,15,4.995904489408848,0.27755024941160267
text 1,my,0.05555555555555555,49,3.856470206220483,0.21424834479002683
text 1,pointless,0.05555555555555555,1,7.075346031088684,0.39307477950492686
text 1,the,0.05555555555555555,295,2.078133757324569,0.11545187540692049
text 1,thing,0.05555555555555555,9,5.465908118654584,0.30366156214747686
text 1,to,0.05555555555555555,227,2.3391475826941885,0.12995264348301047
text 1,trying,0.05555555555555555,3,6.382198850528739,0.35456660280715213
text 1,vegetarianism,0.05555555555555555,11,5.283586561860629,0.2935325867700349
text 1,with,0.05555555555555555,67,3.5489855064725226,0.1971658614706957
text 2,4,0.08333333333333333,11,5.283586561860629,0.44029888015505236
text 2,altright,0.08333333333333333,5,5.976733742420574,0.4980611452017145
text 2,at,0.08333333333333333,45,3.9398518151595345,0.32832098459662784
text 2,israel,0.08333333333333333,12,5.203543854187092,0.433628654515591
text 2,latestnews,0.08333333333333333,1,7.075346031088684,0.5896121692573904
text 2,nativeamerican,0.08333333333333333,1,7.075346031088684,0.5896121692573904
text 2,newmexico,0.08333333333333333,1,7.075346031088684,0.5896121692573904
text 2,of,0.08333333333333333,180,2.5699961803828035,0.21416634836523363
text 2,palestine,0.08333333333333333,8,5.5712686343124105,0.46427238619270084
text 2,politics,0.08333333333333333,3,6.382198850528739,0.5318499042107282
text 2,protesting,0.08333333333333333,2,6.66988092298052,0.5558234102483766
text 2,rise,0.08333333333333333,3,6.382198850528739,0.5318499042107282
text 3,a,0.15384615384615385,191,2.510997839620848,0.386307359941669
text 3,and,0.07692307692307693,147,2.771280937884514,0.21317545676034724
text 3,are,0.07692307692307693,59,3.6741486494265287,0.28262681918665605
text 3,gentleman,0.07692307692307693,1,7.075346031088684,0.5442573870068219
text 3,guy,0.07692307692307693,8,5.5712686343124105,0.4285591257163393
text 3,pence,0.07692307692307693,2,6.66988092298052,0.5130677633061939
text 3,president,0.07692307692307693,15,4.995904489408848,0.3843003453391422
text 3,stand,0.07692307692307693,2,6.66988092298052,0.5130677633061939
text 3,up,0.07692307692307693,31,4.3027573088489035,0.33098133144991565
text 3,user,0.07692307692307693,347,1.916290731874155,0.14740697937493502
text 3,vice,0.07692307692307693,1,7.075346031088684,0.5442573870068219
text 3,you,0.07692307692307693,79,3.386466576974748,0.26049742899805756
text 4,with,0.05,67,3.5489855064725226,0.17744927532362614
text 4,user,0.2,347,1.916290731874155,0.383258146374831
text 4,you,0.05,79,3.386466576974748,0.1693233288487374
text 4,blocked,0.1,1,7.075346031088684,0.7075346031088685
text 4,by,0.05,43,3.984303577730368,0.1992151788865184
text 4,flynn,0.1,2,6.66988092298052,0.666988092298052
text 4,he,0.05,32,4.271985650182149,0.21359928250910745
text 4,isnt,0.05,5,5.976733742420574,0.29883668712102873
text 4,like,0.05,31,4.3027573088489035,0.21513786544244518
text 4,looks,0.05,5,5.976733742420574,0.29883668712102873
text 4,me,0.1,27,4.436288701473425,0.44362887014734254
text 4,pleased,0.05,1,7.075346031088684,0.35376730155443425
text 4,too,0.1,13,5.129435882033371,0.5129435882033371
text 5,clips,0.125,1,7.075346031088684,0.8844182538860855
text 5,efron,0.125,7,5.689051669968793,0.7111314587460992
text 5,hudgens,0.125,2,6.66988092298052,0.833735115372565
text 5,naked,0.125,1,7.075346031088684,0.8844182538860855
text 5,perfect,0.125,7,5.689051669968793,0.7111314587460992
text 5,pussy,0.125,2,6.66988092298052,0.833735115372565
text 5,vanessa,0.125,2,6.66988092298052,0.833735115372565
text 5,zac,0.125,7,5.689051669968793,0.7111314587460992
text 6,is,0.08333333333333333,163,2.668626783824431,0.22238556531870257
text 6,my,0.041666666666666664,49,3.856470206220483,0.16068625859252011
text 6,to,0.041666666666666664,227,2.3391475826941885,0.09746448261225785
text 6,and,0.041666666666666664,147,2.771280937884514,0.11547003907852141
text 6,like,0.041666666666666664,31,4.3027573088489035,0.17928155453537098
text 6,me,0.08333333333333333,27,4.436288701473425,0.36969072512278545
text 6,but,0.041666666666666664,28,4.401197381662156,0.18338322423592315
text 6,catholic,0.041666666666666664,2,6.66988092298052,0.2779117051241883
text 6,dude,0.041666666666666664,2,6.66988092298052,0.2779117051241883
text 6,even,0.041666666666666664,10,5.370597938850259,0.22377491411876077
text 6,everything,0.041666666666666664,5,5.976733742420574,0.24903057260085726
text 6,francis,0.041666666666666664,3,6.382198850528739,0.2659249521053641
text 6,him,0.041666666666666664,10,5.370597938850259,0.22377491411876077
text 6,hug,0.041666666666666664,2,6.66988092298052,0.2779117051241883
text 6,i,0.041666666666666664,114,3.0235610832853794,0.12598171180355747
